name,website,root_domain,federal_state,profil,domain,mx_records,ips,asn,smtp_banner,ptr,tls
Rathaus,https://www.gablingen.de,gablingen.de,Bayern,rathaus,gablingen.de,['mail.bayern.de'],['195.200.70.108'],"[{'asn': '3209', 'asn_org': 'VODANET International IP-Backbone of Vodafone, DE', 'network': 'LFSTAD-NET', 'country': 'DE'}]",['220 mail.bayern.de ESMTP\r\n'],['mail.bayern.de'],['[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1010)']
Amtsgericht Rahden,http://www.justiz.nrw.de/,justiz.nrw.de,Nordrhein-Westfalen,gericht,justiz.nrw.de,"['relay7m.it.nrw.de', 'relay7v.it.nrw.de']","['93.184.136.134', '93.184.128.147']","[{'asn': '43066', 'asn_org': 'IT-NRW, DE', 'network': 'LDS-NET', 'country': 'DE'}, {'asn': '43066', 'asn_org': 'IT-NRW, DE', 'network': 'LDS-NET', 'country': 'DE'}]","['220 relay7m.it.nrw.de ESMTP Postfix\r\n', '220 relay7v.it.nrw.de ESMTP Postfix\r\n']","['sb0-itd-17221.it.nrw.de', 'sb0-itd-16089.it.nrw.de']","[{'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'NRW'),), (('localityName', 'Duesseldorf'),), (('organizationName', 'IT.NRW'),), (('commonName', 'relay-in.it.nrw.de'),)), 'issuer': ((('countryName', 'DE'),), (('organizationName', 'Deutsche Telekom Security GmbH'),), (('commonName', 'Telekom Security ServerID OV Class 2 CA'),)), 'san': (('DNS', 'relay-in.it.nrw.de'), ('DNS', 'sb0-itd-16089.it.nrw.de'), ('DNS', 'sb0-itd-17221.it.nrw.de'), ('DNS', 'relay7m.it.nrw.de'), ('DNS', 'relay7v.it.nrw.de'))}, {'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'NRW'),), (('localityName', 'Duesseldorf'),), (('organizationName', 'IT.NRW'),), (('commonName', 'relay-in.it.nrw.de'),)), 'issuer': ((('countryName', 'DE'),), (('organizationName', 'Deutsche Telekom Security GmbH'),), (('commonName', 'Telekom Security ServerID OV Class 2 CA'),)), 'san': (('DNS', 'relay-in.it.nrw.de'), ('DNS', 'sb0-itd-16089.it.nrw.de'), ('DNS', 'sb0-itd-17221.it.nrw.de'), ('DNS', 'relay7m.it.nrw.de'), ('DNS', 'relay7v.it.nrw.de'))}]"
Amtsgericht Wetzlar Gebäude A,https://ordentliche-gerichtsbarkeit.hessen.de/AG-Wetzlar,ordentliche-gerichtsbarkeit.hessen.de,Hessen,gericht,ordentliche-gerichtsbarkeit.hessen.de,['The DNS response does not contain an answer to the question: ordentliche-gerichtsbarkeit.hessen.de. IN MX'],['label empty or too long'],"[""'label empty or too long' does not appear to be an IPv4 or IPv6 address""]",['label empty or too long'],['[Errno 11001] getaddrinfo failed'],['label empty or too long']
Gemeindeverwaltung,https://www.naundorf-sachsen.de/,naundorf-sachsen.de,Sachsen,rathaus,naundorf-sachsen.de,['dedi4964.your-server.de'],"['2a01:4f8:d0a:601e::2', '136.243.123.103']","[{'asn': '24940', 'asn_org': 'HETZNER-AS, DE', 'network': 'HOS-14991', 'country': 'DE'}, {'asn': '24940', 'asn_org': 'HETZNER-AS, DE', 'network': 'HETZNER-nbg1-dc1', 'country': 'DE'}]",['220 dedi4964.your-server.de Exim ESMTP Service ready\r\n'],"['dedi4964.your-server.de', 'dedi4964.your-server.de']","[{'subject': ((('commonName', '*.your-server.de'),),), 'issuer': ((('countryName', 'US'),), (('organizationName', 'DigiCert Inc'),), (('organizationalUnitName', 'www.digicert.com'),), (('commonName', 'Thawte TLS RSA CA G1'),)), 'san': (('DNS', '*.your-server.de'), ('DNS', 'your-server.de'))}]"
"Hessisches Landessozialgericht, Sozialgericht Darmstadt, Arbeitsgericht Darmstadt, 6. Familiensenat des Oberlandesgerichts Frankfurt am Main",https://sozialgerichtsbarkeit.hessen.de/sozialgerichte-und-landessozialgericht/sozialgericht-darmstadt,sozialgerichtsbarkeit.hessen.de,Hessen,gericht,sozialgerichtsbarkeit.hessen.de,['The DNS response does not contain an answer to the question: sozialgerichtsbarkeit.hessen.de. IN MX'],['label empty or too long'],"[""'label empty or too long' does not appear to be an IPv4 or IPv6 address""]",['label empty or too long'],['[Errno 11001] getaddrinfo failed'],['label empty or too long']
Landgericht Braunschweig,https://www.landgericht-braunschweig.niedersachsen.de/,landgericht-braunschweig.niedersachsen.de,Niedersachsen,gericht,landgericht-braunschweig.niedersachsen.de,['The DNS response does not contain an answer to the question: landgericht-braunschweig.niedersachsen.de. IN MX'],['label empty or too long'],"[""'label empty or too long' does not appear to be an IPv4 or IPv6 address""]",['label empty or too long'],['[Errno 11001] getaddrinfo failed'],['label empty or too long']
Rathaus Sohland an der Spree,https://www.sohland.de,sohland.de,Sachsen,rathaus,sohland.de,"['mx00.ionos.de', 'mx01.ionos.de']","['212.227.15.41', '217.72.192.67']","[{'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'ionos-inf', 'country': 'DE'}, {'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'WEBDE1', 'country': 'DE'}]","['554-kundenserver.de (mxeue002) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MGwh1-1wBWqF2cRX-00CGke\r\n', '554-kundenserver.de (mxeue102) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MPJBD-1w17VB2dmn-00V6NU\r\n']","['mx00.kundenserver.de', 'mx01.kundenserver.de']","[""(554, b'kundenserver.de (mxeue001) Nemesis ESMTP Service not available\\nNo SMTP service\\nIP address is block listed.\\nFor explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MVKNT-1vqg2d2nmJ-00QAuK')"", ""(554, b'kundenserver.de (mxeue103) Nemesis ESMTP Service not available\\nNo SMTP service\\nIP address is block listed.\\nFor explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MgQI5-1vk8eJ2ovP-00dxlC')""]"
Rathaus Porta Westfalica,https://www.portawestfalica.de/rathaus/,portawestfalica.de,Nordrhein-Westfalen,rathaus,portawestfalica.de,['mx.krz.de'],['62.153.132.3'],"[{'asn': '3320', 'asn_org': 'DTAG Internet service provider operations, DE', 'network': 'KOMM-RECHENZ-LEMGO-NET', 'country': 'DE'}]",['220 mx.krz.de - NoSpamProxy ready\r\n'],['mx.krz.de'],"[{'subject': ((('commonName', '*.krz.de'),),), 'issuer': ((('countryName', 'GB'),), (('stateOrProvinceName', 'Greater Manchester'),), (('localityName', 'Salford'),), (('organizationName', 'Sectigo Limited'),), (('commonName', 'Sectigo RSA Domain Validation Secure Server CA'),)), 'san': (('DNS', '*.krz.de'), ('DNS', 'krz.de'))}]"
Historisches Rathaus,https://hann.muenden-erlebnisregion.de/,hann.muenden-erlebnisregion.de,Niedersachsen,rathaus,hann.muenden-erlebnisregion.de,"['mx00.kundenserver.de', 'mx01.kundenserver.de']","['212.227.15.41', '217.72.192.67']","[{'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'ionos-inf', 'country': 'DE'}, {'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'WEBDE1', 'country': 'DE'}]","['554-kundenserver.de (mxeue001) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MLT1P-1vyLYV2YNv-00Xqrk\r\n', '554-kundenserver.de (mxeue103) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MN7FT-1vytWD2ZeP-00KmjP\r\n']","['mx00.kundenserver.de', 'mx01.kundenserver.de']","[""(554, b'kundenserver.de (mxeue002) Nemesis ESMTP Service not available\\nNo SMTP service\\nIP address is block listed.\\nFor explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MYt5E-1vtiyS2jJo-00Ul5o')"", ""(554, b'kundenserver.de (mxeue103) Nemesis ESMTP Service not available\\nNo SMTP service\\nIP address is block listed.\\nFor explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1Myu72-1vTygA2kbq-00yWki')""]"
Rathaus,https://www.unterkirnach.de/index.php?id=152,unterkirnach.de,Baden-Wuerttemberg,rathaus,unterkirnach.de,"['mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.49', '194.59.36.34', '194.59.36.35', '194.0.94.48']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS', 'country': 'DE'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF', 'country': 'DE'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF', 'country': 'DE'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS', 'country': 'DE'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']","['mx7.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx6.kvnbw.de']","[{'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'Baden-Wuerttemberg'),), (('localityName', 'Stuttgart'),), (('organizationName', 'Komm.ONE Anstalt des oeffentlichen Rechts'),), (('commonName', 'mx6.kvnbw.de'),)), 'issuer': ((('countryName', 'BE'),), (('organizationName', 'GlobalSign nv-sa'),), (('commonName', 'GlobalSign RSA OV SSL CA 2018'),)), 'san': (('DNS', 'mx6.kvnbw.de'),)}, {'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'Baden-Wuerttemberg'),), (('localityName', 'Stuttgart'),), (('organizationName', 'Komm.ONE Anstalt des oeffentlichen Rechts'),), (('commonName', 'mx8.kvnbw.de'),)), 'issuer': ((('countryName', 'BE'),), (('organizationName', 'GlobalSign nv-sa'),), (('commonName', 'GlobalSign RSA OV SSL CA 2018'),)), 'san': (('DNS', 'mx8.kvnbw.de'),)}, {'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'Baden-Wuerttemberg'),), (('localityName', 'Stuttgart'),), (('organizationName', 'Komm.ONE Anstalt des oeffentlichen Rechts'),), (('commonName', 'mx9.kvnbw.de'),)), 'issuer': ((('countryName', 'BE'),), (('organizationName', 'GlobalSign nv-sa'),), (('commonName', 'GlobalSign RSA OV SSL CA 2018'),)), 'san': (('DNS', 'mx9.kvnbw.de'),)}, {'subject': ((('countryName', 'DE'),), (('stateOrProvinceName', 'Baden-Wuerttemberg'),), (('localityName', 'Stuttgart'),), (('organizationName', 'Komm.ONE Anstalt des oeffentlichen Rechts'),), (('commonName', 'mx7.kvnbw.de'),)), 'issuer': ((('countryName', 'BE'),), (('organizationName', 'GlobalSign nv-sa'),), (('commonName', 'GlobalSign RSA OV SSL CA 2018'),)), 'san': (('DNS', 'mx7.kvnbw.de'),)}]"
