name,website,root_domain,federal_state,profil,domain,mx_records,ips,asn,smtp_banner
Rathaus,"https://www.heidelberg.de/hd,Lde/HD/Rathaus.html",heidelberg.de,Baden-Wuerttemberg,rathaus,heidelberg.de,"['mx7.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx6.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n']"
Rathaus,https://www.korb.de/de/politik-verwaltung/rathaus,korb.de,Baden-Wuerttemberg,rathaus,korb.de,"['mx9.kvnbw.de', 'mx7.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Staig,http://www.staig.de,staig.de,Baden-Wuerttemberg,rathaus,staig.de,"['mx9.kvnbw.de', 'mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Ortsverwaltung Haueneberstein,https://www.baden-baden.de/de/buergerservice/c/content/contentstadt/lebenslage/amt/00035/index.html&nav=77,baden-baden.de,Baden-Wuerttemberg,rathaus,baden-baden.de,"['mx6.kvnbw.de', 'mx9.kvnbw.de', 'mx7.kvnbw.de', 'mx8.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Wannweil,https://wannweil.de/,wannweil.de,Baden-Wuerttemberg,rathaus,wannweil.de,"['mx00.ionos.de', 'mx01.ionos.de']","['217.72.192.67', '212.227.15.41']","[{'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'WEBDE1'}, {'asn': '8560', 'asn_org': 'IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE', 'network': 'ionos-inf'}]","['554-kundenserver.de (mxeue002) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MT8SF-1vpfq11HHL-00V0dN\r\n', '554-kundenserver.de (mxeue101) Nemesis ESMTP Service not available\r\n554-No SMTP service\r\n554-IP address is block listed.\r\n554 For explanation visit https://postmaster.1und1.de/en/case?c=r0301&i=ip&v=84.150.214.212&r=1MzjC3-1vRpYB1J2H-00sXNL\r\n']"
Rathaus,https://www.hirrlingen.de/,hirrlingen.de,Baden-Wuerttemberg,rathaus,hirrlingen.de,"['mx9.kvnbw.de', 'mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Gemeinde Auggen Rathaus,https://www.auggen.de/index.php?article_id=4,auggen.de,Baden-Wuerttemberg,rathaus,auggen.de,"['mx6.kvnbw.de', 'mx7.kvnbw.de', 'mx9.kvnbw.de', 'mx8.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n']"
Ortschaftsverwaltung Rüsselhausen,https://www.ruesselhausen.info,ruesselhausen.info,Baden-Wuerttemberg,rathaus,ruesselhausen.info,['mail.ruesselhausen.info'],['213.133.105.131'],"[{'asn': '24940', 'asn_org': 'HETZNER-AS, DE', 'network': 'HETZNER-RZ-NBG-NET'}]",['220 dedi4183.your-server.de Exim ESMTP Service ready\r\n']
Bezirksamt Mühlhausen,https://www.stuttgart.de/item/show/197827,stuttgart.de,Baden-Wuerttemberg,rathaus,stuttgart.de,"['x104s32.stuttgart.de', 'x104s31.stuttgart.de']","['91.208.45.182', '91.208.45.186']","[{'asn': '3209', 'asn_org': 'VODANET International IP-Backbone of Vodafone, DE', 'network': 'LHS-Stuttgart'}, {'asn': '3209', 'asn_org': 'VODANET International IP-Backbone of Vodafone, DE', 'network': 'LHS-Stuttgart'}]","['220 x104s32.stuttgart.de ESMTP Postfix (Debian/GNU)\r\n', '220 x104s31.stuttgart.de ESMTP Postfix (Debian/GNU)\r\n']"
Rathaus Oberriexingen,https://www.oberriexingen.de/,oberriexingen.de,Baden-Wuerttemberg,rathaus,oberriexingen.de,"['mx6.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Jestetten,https://www.jestetten.de/,jestetten.de,Baden-Wuerttemberg,rathaus,jestetten.de,"['mx7.kvnbw.de', 'mx9.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n']"
Kürnbach,https://www.kuernbach.de/,kuernbach.de,Baden-Wuerttemberg,rathaus,kuernbach.de,"['d339658.a.ess.de.barracudanetworks.com', 'd339658.b.ess.de.barracudanetworks.com']","['18.185.115.252', '18.185.115.251', '18.185.115.250']","[{'asn': '16509', 'asn_org': 'AMAZON-02 - Amazon.com, Inc., US', 'network': 'AMAZO-ZFRA'}, {'asn': '16509', 'asn_org': 'AMAZON-02 - Amazon.com, Inc., US', 'network': 'AMAZO-ZFRA'}, {'asn': '16509', 'asn_org': 'AMAZON-02 - Amazon.com, Inc., US', 'network': 'AMAZO-ZFRA'}]","['220 mail.ess.de.barracuda.com ESMTP (mx-inbound12-88.eu-central-1a.ess.aws)\r\n', '220 mail.ess.de.barracuda.com ESMTP (mx-inbound46-41.eu-central-1c.ess.aws)\r\n']"
Rathaus Öschingen,https://www.moessingen.de/de/Stadt-Buerger/Rathaus/Stadtverwaltung/Ortschaftsverwaltung-oeschingen,moessingen.de,Baden-Wuerttemberg,rathaus,moessingen.de,"['mx8.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de', 'mx9.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n']"
Stadtverwaltung Owen,https://www.owen.de/,owen.de,Baden-Wuerttemberg,rathaus,owen.de,"['mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus,https://www.dornstadt.de/,dornstadt.de,Baden-Wuerttemberg,rathaus,dornstadt.de,"['mx7.kvnbw.de', 'mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n']"
